track_name,artist_names,track_duration,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
End of Beginning,Djo,159245,Pov: Indie,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982
je t'aime ★ je t'aime,Tommy february6,293533,Japanese Electropop,0.611,0.982,0,-4.371,0,0.0368,0.00388,0.00442,0.11,0.57,121.98
Lay All Your Love On Me,ABBA,272506,Euro Pop,0.695,0.701,0,-6.435,1,0.0281,0.0187,0.0464,0.251,0.58,133.0
Espresso,Sabrina Carpenter,175459,Pop,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54E-05,0.185,0.69,103.969
Hey Girl,"Lady Gaga, Florence Welch",255413,Dance Pop,0.754,0.451,10,-7.882,1,0.038,0.0562,6.5E-06,0.0688,0.621,138.036
Yummy,Ayesha Erotica,160940,Krushclub,0.776,0.659,10,-12.282,0,0.351,0.0127,0.00035,0.0424,0.656,91.067
NGSUNC,Ayesha Erotica,208228,Krushclub,0.797,0.405,1,-7.939,1,0.212,0.00287,0.0,0.0642,0.962,138.015
Rock Your Body,"kets4eki, Ayesha Erotica",133361,Scenecore,0.624,0.975,3,-2.196,0,0.168,0.00295,0.0155,0.111,0.802,131.487
gigabowser,"Ayesha Erotica, Yvncc",128000,Phonk,0.412,0.787,7,-6.561,0,0.199,0.0803,1.5E-06,0.361,0.456,159.758
Taking What's Not Yours,TV Girl,205650,Pov: Indie,0.712,0.914,1,-5.675,1,0.101,0.65,0.0,0.0579,0.697,100.406
Karma Hotel,The Spooks,301693,Dark R&B,0.778,0.697,11,-6.958,1,0.235,0.264,2.78E-06,0.227,0.751,94.015
インフレイション II,フレネシ,233933,Shibuya-Kei,0.722,0.685,4,-7.325,1,0.0734,0.0244,1.57E-06,0.0771,0.328,130.015
Rising,tripleS,159933,K-Pop,0.699,0.775,11,-5.786,0,0.0495,0.0393,0.0,0.0533,0.87,100.023
Nothing,KISS OF LIFE,211506,K-Pop,0.615,0.802,6,-2.371,1,0.064,0.182,0.0,0.152,0.632,83.953
Midas Touch,KISS OF LIFE,162880,K-Pop,0.796,0.9,6,-3.049,1,0.052,0.0513,0.0,0.118,0.854,118.969
No,CLC,181975,K-Pop,0.76,0.722,6,-4.429,0,0.0908,0.00785,0.000326,0.116,0.687,120.055
Me and Your Mama,Childish Gambino,379226,Atl Hip Hop,0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073
BAD INTENTIONS,ZØMB,85237,Krushfunk,0.443,0.948,5,-5.191,0,0.204,0.00071,0.004,0.812,0.387,116.722
Emo Boy,Ayesha Erotica,154096,Scenecore,0.452,0.685,11,-11.623,0,0.28,0.00613,0.0,0.261,0.588,133.965
Half Mast,Empire Of The Sun,234360,Australian Electropop,0.775,0.736,0,-4.966,1,0.0303,0.00373,0.00669,0.506,0.778,126.966
Uncomfortable,Wallows,294015,Pov: Indie,0.395,0.768,2,-2.81,1,0.0311,0.115,0.0204,0.286,0.251,142.016
Moonlight,Chase Atlantic,252000,Alternative R&B,0.31,0.583,11,-5.902,1,0.0446,0.00222,0.0,0.0969,0.138,134.982
We Are The People,Empire Of The Sun,267373,Australian Electropop,0.675,0.781,4,-5.404,0,0.0306,0.0801,0.0143,0.422,0.534,122.989
Feel complete,PinkPantheress,163120,Bedroom Pop,0.671,0.786,11,-6.173,1,0.0423,0.317,0.0612,0.102,0.316,98.813
スマイリーを探して,Serani Poji,271933,Neo-Shibuya-Kei,0.639,0.941,1,-3.735,0,0.0428,0.0885,0.00198,0.165,0.963,169.987
Fly-day Chinatown,泰葉,210240,Classic City Pop,0.743,0.812,11,-4.715,0,0.0352,0.32,8.13E-06,0.188,0.688,123.185
The Blonde,TV Girl,227760,Pov: Indie,0.501,0.547,1,-7.961,0,0.0243,0.225,0.912,0.288,0.225,87.692
A Bird's Last Look,Macabre Plaza,69565,Utopian Virtual,0.552,0.715,2,-9.291,1,0.0524,0.0286,0.702,0.0669,0.858,113.861
4 Morant (Better Luck Next Time),Com Truise,171000,Vaporwave,0.462,0.771,1,-2.931,0,0.342,0.0537,0.113,0.401,0.482,170.392
DOOR TO DUSK,Odetari,142016,Krushclub,0.76,0.746,9,-5.764,1,0.0441,0.00708,0.00257,0.208,0.199,125.206
PEW PEW,ZØMB,105191,Krushfunk,0.458,0.989,1,-2.461,1,0.0868,1.73E-05,0.91,0.443,0.55,151.86
POSSESSIVE LOVE DISORDER,"ZØMB, durpo1x",115094,Krushfunk,0.372,0.988,11,-3.81,0,0.222,0.186,0.0,0.387,0.251,146.815
Everything Is Embarrassing,Sky Ferreira,250120,Metropopolis,0.667,0.783,0,-5.885,1,0.0361,0.0606,1.17E-06,0.0418,0.564,117.145
Drain Me!,Towa Bird,121533,Indie,0.688,0.95,7,-3.866,1,0.0652,0.0123,1.1E-05,0.454,0.826,125.039
10 Minutes,Lee Hyori,236147,Classic K-Pop,0.934,0.671,0,-7.253,1,0.0754,0.0464,0.0,0.085,0.869,96.371
the boy is mine,Ariana Grande,173639,Pop,0.795,0.63,7,-5.854,0,0.0434,0.157,0.0,0.0732,0.447,97.998
Lyfestylë (with Lil Wayne),"Yeat, Lil Wayne",236883,Rap,0.699,0.509,10,-8.638,1,0.111,0.152,0.0,0.0722,0.268,76.977
Literal Legend - Remix,Ayesha Erotica,106893,Scenecore,0.692,0.682,10,-6.963,0,0.219,0.00327,0.0162,0.112,0.512,137.262
Breathe,Yeat,170847,Rage Rap,0.76,0.546,11,-13.092,1,0.0616,0.0284,0.924,0.103,0.113,118.051
prettygrunge.wav,Artemas,119104,Alt Z,0.412,0.67,4,-3.959,1,0.0289,0.772,0.00108,0.242,0.395,134.024
big ballin,lil hero,135788,Emoplugg,0.584,0.676,11,-7.193,0,0.0755,9.72E-05,0.0,0.37,0.34,140.732
